MH 60  10.08 %     flying wings F3B, good cl_max, low c_m
      1.00000   .00000
       .99666  -.00011
       .98657  -.00023
       .96984   .00014
       .94692   .00134
       .91828   .00354
       .88452   .00691
       .84641   .01148
       .80469   .01708
       .76008   .02350
      .71329   .03043
      .66497   .03752
      .61566   .04434
      .56577   .05056
      .51568   .05594
      .46575   .06037
      .41641   .06378
      .36813   .06615
      .32138   .06741
      .27662   .06751
      .23426   .06640
      .19465   .06405
      .15809   .06048
      .12486   .05576
      .09521   .05000
      .06937   .04331
      .04750   .03581
      .02965   .02769
      .01589   .01929
      .00625   .01098
      .00086   .00335
      .00063  -.00268
      .00634  -.00782
      .01760  -.01307
      .03387  -.01809
      .05490  -.02265
      .08046  -.02657
      .11036  -.02968
      .14441  -.03191
      .18237  -.03323
      .22396  -.03370
      .26880  -.03342
      .31644  -.03249
      .36637  -.03101
      .41806  -.02908
      .47094  -.02684
      .52438  -.02441
      .57774  -.02188
      .63036  -.01933
      .68160  -.01684
      .73082  -.01444
      .77743  -.01217
      .82085  -.01006
      .86054  -.00814
      .89601  -.00642
      .92681  -.00489
      .95255  -.00353
      .97290  -.00233
      .98767  -.00121
      .99682  -.00033
     1.00000   .00000
