MH 62   9.30 %     flying wings F3B, good cl_max, low c_m
1.00000 .00000
.99672 -.00006
.98684 -.00005
.97051 .00042
.94812 .00163
.92011 .00371
.88703 .00681
.84956 .01096
.80842 .01602
.76428 .02179
.71781 .02802
.66965 .03440
.62035 .04055
.57033 .04619
.52002 .05110
.46981 .05515
.42012 .05830
.37146 .06051
.32431 .06171
.27913 .06186
.23633 .06089
.19629 .05879
.15933 .05557
.12573 .05127
.09577 .04600
.06965 .03985
.04755 .03293
.02954 .02544
.01568 .01766
.00602 .00997
.00067 .00297
.00067 -.00261
.00660 -.00749
.01793 -.01248
.03423 -.01724
.05525 -.02157
.08080 -.02526
.11067 -.02817
.14468 -.03021
.18261 -.03137
.22416 -.03171
.26897 -.03132
.31656 -.03030
.36646 -.02876
.41813 -.02681
.47098 -.02458
.52441 -.02217
.57775 -.01971
.63036 -.01725
.68159 -.01488
.73081 -.01262
.77742 -.01052
.82084 -.00859
.86055 -.00687
.89602 -.00535
.92683 -.00404
.95258 -.00290
.97294 -.00190
.98771 -.00098
.99684 -.00026
1.00000 .00000
