MH 61  10.28 %     flying wings F3B, good cl_max, positive c_m
1.00000 .00000
.99662 -.00021
.98634 -.00059
.96923 -.00048
.94584 .00055
.91671 .00267
.88248 .00606
.84394 .01072
.80189 .01650
.75708 .02313
.71024 .03031
.66204 .03762
.61302 .04455
.56351 .05077
.51386 .05605
.46445 .06025
.41565 .06329
.36787 .06513
.32154 .06577
.27709 .06518
.23491 .06336
.19534 .06033
.15870 .05614
.12523 .05090
.09521 .04481
.06892 .03804
.04659 .03077
.02843 .02321
.01457 .01560
.00514 .00829
.00031 .00184
.00134 -.00348
.00856 -.00857
.02097 -.01389
.03826 -.01907
.06019 -.02391
.08653 -.02818
.11707 -.03174
.15158 -.03446
.18982 -.03631
.23147 -.03729
.27618 -.03741
.32357 -.03676
.37317 -.03545
.42447 -.03361
.47691 -.03137
.52987 -.02886
.58271 -.02619
.63480 -.02345
.68549 -.02070
.73417 -.01799
.78024 -.01537
.82314 -.01288
.86235 -.01055
.89737 -.00841
.92776 -.00646
.95315 -.00469
.97321 -.00310
.98777 -.00161
.99683 -.00044
1.00000 .00000
