MH 43   8.50 %     pylon racing, small electric powered models
      1.00000   .00000
       .99678   .00014
       .98723   .00065
       .97160   .00169
       .95021   .00339
       .92343   .00579
       .89169   .00892
       .85549   .01279
       .81542   .01741
       .77217   .02267
      .72640   .02833
      .67872   .03415
      .62970   .03987
      .57988   .04524
      .52977   .04998
      .47979   .05389
      .43036   .05682
      .38188   .05867
      .33474   .05940
      .28930   .05901
      .24598   .05756
      .20519   .05510
      .16731   .05167
      .13267   .04735
      .10157   .04222
      .07428   .03641
      .05102   .03003
      .03197   .02325
      .01725   .01627
      .00689   .00937
      .00101   .00305
      .00049  -.00201
      .00580  -.00647
      .01643  -.01100
      .03207  -.01522
      .05251  -.01894
      .07759  -.02199
      .10718  -.02425
      .14114  -.02569
      .17922  -.02646
      .22101  -.02665
      .26606  -.02634
      .31385  -.02559
      .36384  -.02445
      .41550  -.02297
      .46824  -.02122
      .52147  -.01926
      .57459  -.01717
      .62696  -.01498
      .67802  -.01275
      .72718  -.01053
      .77388  -.00844
      .81755  -.00651
      .85761  -.00483
      .89357  -.00341
     .92493  -.00228
      .95127  -.00141
      .97221  -.00078
      .98745  -.00034
      .99681  -.00008
     1.00000   .00000
