PW51
   0.70647	  -0.01810
   0.71545	  -0.01765
   0.72442	  -0.01719
   0.73340	  -0.01672
   0.74238	  -0.01625
   0.75136	  -0.01577
   0.76033	  -0.01528
   0.76931	  -0.01479
   0.77828	  -0.01429
   0.78725	  -0.01378
   0.79623	  -0.01327
   0.80520	  -0.01275
   0.81418	  -0.01222
   0.82315	  -0.01169
   0.83212	  -0.01115
   0.84109	  -0.01061
   0.85008	  -0.01005
   0.85907	  -0.00950
   0.86805	  -0.00894
   0.87703	  -0.00838
   0.88601	  -0.00781
   0.89499	  -0.00723
   0.90398	  -0.00665
   0.91298	  -0.00607
   0.92196	  -0.00549
   0.93093	  -0.00491
   0.93989	  -0.00432
   0.94884	  -0.00373
   0.95775	  -0.00315
   0.96655	  -0.00258
   0.97511	  -0.00203
   0.98317	  -0.00151
   0.99040	  -0.00104
   0.99653	  -0.00066
   1.00000	  -0.00047
